順号,仕込規模,留日,仕込区分,製法区分,上槽予定,タンク番号,備考,順号,使用区分,日付,白米品種,精米歩合,数量,順号,使用区分,日付,白米品種,精米歩合,数量,順号,使用区分,日付,白米品種,精米歩合,数量,順号,使用区分,日付,白米品種,精米歩合,数量,順号,使用区分,日付,白米品種,精米歩合,数量,順号,使用区分,日付,白米品種,精米歩合,数量,順号,使用区分,日付,白米品種,精米歩合,数量,順号,使用区分,日付,白米品種,精米歩合,数量,順号,使用区分,日付,白米品種,精米歩合,数量
1,1350,45926,純米60/65,,45949,28,辛口(1),1,モト麹,45911,R6八反錦60,60,25,1,モト掛,45914,R6八反錦60,60,45,1,初麹,45919,R6八反錦60,60,60,1,初掛,45922,R6加工用米原形65,65,140,1,仲麹,45921,R6八反錦60,60,80,1,仲掛,45924,R6加工用米原形65,65,330,1,留麹,45922,R6八反錦60,60,120,1,留掛,45925,R6加工用米原形65,65,540,1,四段,45947,R6加工用米原形65,65,43
2,1200,45928,吟醸60,,45951,225,,2,モト麹,45911,R6八反錦60,60,20,2,モト掛,45916,R6八反錦60,60,40,2,初麹,45921,R6八反錦60,60,55,2,初掛,45924,R6加工用米原形60,60,125,2,仲麹,45919,R6八反錦60,60,75,2,仲掛,45926,R6加工用米原形60,60,285,2,留麹,45924,R6八反錦60,60,110,2,留掛,45927,R6加工用米原形60,60,480,2,四段,45949,R6加工用米原形60,60,70
3,1000,45930,純大山田錦50,,45955,226,,3,モト麹,45912,R6兵庫山田錦40,40,20,3,モト掛,45915,R6岡山山田錦50,50,35,3,初麹,45923,R6岡山山田錦50,50,45,3,初掛,45926,R6岡山山田錦50,50,105,3,仲麹,45923,R6岡山山田錦50,50,60,3,仲掛,45928,R6広島山田錦50,50,240,3,留麹,45926,R6岡山山田錦50,50,90,3,留掛,45929,R6広島山田錦50,50,315,3,四段,45953,R6岡山山田錦50,50,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,留掛,45929,R6岡山山田錦50,50,90,,,,,,
4,1220,45932,特純13度山田錦60,,45957,227,13度(1),4,モト麹,45912,R6兵庫山田錦40,40,25,4,モト掛,45917,R6岡山山田錦50,50,40,4,初麹,45925,R6岡山山田錦60,60,55,4,初掛,45928,R6岡山山田錦60,60,115,4,仲麹,45925,R6岡山山田錦60,60,70,4,仲掛,45930,R6岡山山田錦60,60,270,4,留麹,45928,R6岡山山田錦60,60,100,4,留掛,45931,R6岡山山田錦60,60,392,4,四段,45955,R6岡山山田錦60,60,120
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,留掛,45931,R6岡山山田錦50,50,48,,,,,,
5,900,45934,大吟40,,45962,263,山田錦100%,5,モト麹,45912,R6兵庫山田錦40,40,20,5,モト掛,45919,R6兵庫山田錦40,40,30,5,初麹,45927,R6兵庫山田錦40,40,40,5,初掛,45930,R6兵庫山田錦40,40,95,5,仲麹,45927,R6兵庫山田錦40,40,55,5,仲掛,45932,R6兵庫山田錦40,40,215,5,留麹,45930,R6兵庫山田錦40,40,80,5,留掛,45933,R6兵庫山田錦40,40,365,5,四段,45958,R6兵庫山田錦40,40,0
8,874,45940,にごり酒,,45958,288,,8,モト麹,45922,乾燥麹70,70,0,8,モト掛,45925,こいもみじ70,70,0,8,初麹,45933,乾燥麹70,70,47,8,初掛,45936,こいもみじ70,70,90,8,仲麹,45935,乾燥麹70,70,57,8,仲掛,45938,こいもみじ70,70,215,8,留麹,45936,乾燥麹70,70,70,8,留掛,45939,こいもみじ70,70,315,8,四段,45956,こいもみじ70,70,80
9,874,45942,にごり酒,,45960,888,,9,モト麹,45924,乾燥麹70,70,0,9,モト掛,45927,こいもみじ70,70,0,9,初麹,45935,乾燥麹70,70,47,9,初掛,45938,こいもみじ70,70,90,9,仲麹,45937,乾燥麹70,70,57,9,仲掛,45940,こいもみじ70,70,215,9,留麹,45938,乾燥麹70,70,70,9,留掛,45941,こいもみじ70,70,315,9,四段,45958,こいもみじ70,70,87
6,900,45936,純吟50/60,,45959,18,,6,モト麹,45920,R6八反錦60,60,20,6,モト掛,45923,R6広島雄町60,60,30,6,初麹,45929,R6広島山田錦50,50,40,6,初掛,45932,R6広島雄町60,60,95,6,仲麹,45929,R6広島山田錦50,50,55,6,仲掛,45934,R6広島雄町60,60,215,6,留麹,45932,R6広島山田錦50,50,80,6,留掛,45935,R6広島雄町60,60,277,6,四段,45957,R6加工用米原形60,60,40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,留掛,45939,R6加工用米原形60,60,88,,,,,,
7,900,45938,純吟50/60,,45961,10,,7,モト麹,45920,R6八反錦60,60,20,7,モト掛,45925,R6広島雄町60,60,30,7,初麹,45929,R6広島山田錦50,50,40,7,初掛,45934,R6広島雄町60,60,95,7,仲麹,45932,R6広島山田錦50,50,55,7,仲掛,45936,R6広島雄町60,60,215,7,留麹,45934,R6広島山田錦50,50,40,7,留掛,45937,R6広島雄町60,60,365,7,四段,45959,R6加工用米原形60,60,40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,留麹,45934,R6広島山田錦50,50,40,,,,,,,,,,,,
10,600,45944,純吟50/60,,45967,68,イマジン,10,モト麹,45926,R6岡山山田錦50,50,12,10,モト掛,45929,R6広島雄町60,60,23,10,初麹,45937,R6広島山田錦50,50,30,10,初掛,45940,R6広島雄町60,60,60,10,仲麹,45937,R6広島山田錦50,50,40,10,仲掛,45942,R6広島雄町60,60,140,10,留麹,45937,R6広島山田錦50,50,50,10,留掛,45943,R6広島雄町60,60,245,10,四段,45965,R6広島雄町60,60,0
11,1350,45946,純米60/65,,45969,62,辛口(2)ムロカ生,11,モト麹,45920,R6八反錦60,60,30,11,モト掛,45931,R6広島雄町60,60,50,11,初麹,45939,R6広島雄町60,60,60,11,初掛,45942,R6広系酒44号原形65,65,140,11,仲麹,45941,R6広島雄町60,60,80,11,仲掛,45944,R6広系酒44号原形65,65,330,11,留麹,45942,R6広島雄町60,60,120,11,留掛,45945,R6広系酒44号原形65,65,443,11,四段,45967,"R6広島雄町2,3等65",65,40
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,留掛,45945,"R6広島雄町2,3等65",65,97,,,,,,
12,1350,45948,純米60/65,,45971,63,辛口(3)ムロカ生,12,モト麹,45928,R6岡山山田錦60,60,30,12,モト掛,45933,R6広島雄町60,60,50,12,初麹,45941,R6広島雄町60,60,60,12,初掛,45944,R6広系酒44号原形65,65,140,12,仲麹,45939,R6広島雄町60,60,80,12,仲掛,45946,"R6広島雄町2,3等65",65,330,12,留麹,45944,R6広島雄町60,60,120,12,留掛,45947,こいもみじ原形65,65,546,12,四段,45969,"R6広島雄町2,3等65",65,40
13,700,45950,純吟50/60(萌えいぶき)原形,,45973,262,UGO(1),13,モト麹,45926,R6岡山山田錦50,50,15,13,モト掛,45935,R6広島山田錦50,50,25,13,初麹,45943,R6広島山田錦50,50,35,13,初掛,45946,R6萌えいぶき原形60,60,65,13,仲麹,45943,R6広島山田錦50,50,45,13,仲掛,45948,R6萌えいぶき原形60,60,155,13,留麹,45946,R6広島山田錦50,50,60,13,留掛,45949,R6萌えいぶき原形60,60,310,13,四段,45971,R6萌えいぶき原形60,60,70
14,1350,45952,純米60/65,,45975,19,辛口(4),14,モト麹,45933,R6広島雄町60,60,30,14,モト掛,45937,R6広島雄町60,60,50,14,初麹,45945,R6八反錦60,60,60,14,初掛,45948,加工用米65,65,140,14,仲麹,45947,R6八反錦60,60,80,14,仲掛,45950,加工用米65,65,330,14,留麹,45948,R6八反錦60,60,120,14,留掛,45951,加工用米原形65,65,540,14,四段,45973,加工用米65,65,30
15,1350,45954,純米60/65,,45977,64,辛口(5),15,モト麹,45933,R6広島雄町60,60,30,15,モト掛,45939,R6広島雄町60,60,50,15,初麹,45947,R6八反錦60,60,60,15,初掛,45950,加工用米65,65,140,15,仲麹,45949,R6八反錦60,60,80,15,仲掛,45952,加工用米65,65,330,15,留麹,45950,R6八反錦60,60,120,15,留掛,45953,加工用米原形65,65,540,15,四段,45975,加工用米65,65,40
16,1350,45956,純米60/65,,45979,6,辛口(6),16,モト麹,45933,R6広島雄町60,60,30,16,モト掛,45941,R6広島雄町60,60,50,16,初麹,45949,R6八反錦60,60,60,16,初掛,45952,加工用米65,65,140,16,仲麹,45945,R6八反錦60,60,80,16,仲掛,45954,加工用米65,65,330,16,留麹,45952,R6八反錦60,60,122,16,留掛,45955,加工用米原形65,65,519,16,四段,45977,加工用米65,65,41
17,1350,45958,純米八反錦65,,45981,28,超辛(1),17,モト麹,45942,R6広島雄町60,60,30,17,モト掛,45945,R6岡山雄町50,50,50,17,初麹,45951,R6八反錦65,65,60,17,初掛,45954,R6八反錦65,65,140,17,仲麹,45951,R6八反錦65,65,80,17,仲掛,45956,R6八反錦65,65,330,17,留麹,45954,R6八反錦65,65,120,17,留掛,45957,R6八反錦65,65,537,17,四段,45979,R6八反錦60,60,30
18,1350,45962,純吟50/60,,45985,225,中汲み,18,モト麹,45943,R6広島山田錦50,50,30,18,モト掛,45947,R6広島雄町60,60,50,18,初麹,45955,R6広島山田錦50,50,60,18,初掛,45958,R6広島雄町60,60,140,18,仲麹,45957,R6広島山田錦50,50,80,18,仲掛,45960,R6広島雄町60,60,330,18,留麹,45958,R6広島山田錦50,50,120,18,留掛,45961,R6広島雄町60,60,540,18,四段,45983,R6広島雄町60,60,0
19,1350,45964,純吟50/60,,45987,226,中汲み,19,モト麹,45946,R6広島山田錦50,50,30,19,モト掛,45949,R6広島雄町60,60,50,19,初麹,45957,R6広島山田錦50,50,60,19,初掛,45960,R6広島雄町60,60,140,19,仲麹,45959,R6広島山田錦50,50,80,19,仲掛,45962,R6広島雄町60,60,330,19,留麹,45960,R6広島山田錦50,50,120,19,留掛,45963,R6こいおまち60,60,540,19,四段,45985,R6加工用米原形60,60,30
20,1350,45966,純吟50/60,,45989,227,中汲み,20,モト麹,45946,R6広島山田錦50,50,30,20,モト掛,45951,R6八反錦60,60,50,20,初麹,45959,R6広島山田錦50,50,60,20,初掛,45962,R6広島雄町60,60,140,20,仲麹,45955,R6広島山田錦50,50,80,20,仲掛,45964,R6広島雄町60,60,330,20,留麹,45962,R6広島山田錦50,50,120,20,留掛,45965,R6八反35号60,60,540,20,四段,45987,R6加工用米原形60,60,30
21,1000,45968,純大雄町50,,45993,263,B.M.ムロカ生赤磐雄町100%,21,モト麹,45950,R6八反錦60,60,20,21,モト掛,45953,R6岡山雄町50,50,35,21,初麹,45961,R6岡山雄町50,50,45,21,初掛,45964,R6岡山雄町50,50,105,21,仲麹,45963,R6岡山雄町50,50,60,21,仲掛,45966,R6岡山雄町50,50,240,21,留麹,45964,R6岡山雄町50,50,90,21,留掛,45967,R6岡山雄町50,50,405,21,四段,45991,R6岡山雄町50,50,0
22,1000,45970,純大雄町50,,45995,288,B.M.ムロカ生赤磐雄町100%,22,モト麹,45952,R6八反錦60,60,20,22,モト掛,45955,R6岡山雄町50,50,35,22,初麹,45963,R6岡山雄町50,50,45,22,初掛,45966,R6岡山雄町50,50,105,22,仲麹,45965,R6岡山雄町50,50,60,22,仲掛,45968,R6岡山雄町50,50,240,22,留麹,45966,R6岡山雄町50,50,90,22,留掛,45969,R6岡山雄町50,50,405,22,四段,45993,R6岡山雄町50,50,0
23,1000,45972,純大雄町50,,45997,888,B.M.ムロカ生赤磐雄町100%,23,モト麹,45954,R6八反錦65,65,20,23,モト掛,45957,R6岡山雄町50,50,35,23,初麹,45965,R6岡山雄町50,50,45,23,初掛,45968,R6岡山雄町50,50,105,23,仲麹,45961,R6岡山雄町50,50,60,23,仲掛,45970,R6岡山雄町50,50,240,23,留麹,45968,R6岡山雄町50,50,90,23,留掛,45971,R6岡山雄町50,50,320,23,四段,45995,R6岡山雄町50,50,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,留掛,45971,R6広島山田錦50,50,115,,,,,,
24,900,45974,大吟40,,46001,18,千本錦含む,24,モト麹,45956,R6兵庫山田錦40,40,20,24,モト掛,45959,R6兵庫山田錦40,40,30,24,初麹,45967,R6兵庫山田錦40,40,40,24,初掛,45970,R6千本錦40,40,95,24,仲麹,45969,R6兵庫山田錦40,40,55,24,仲掛,45972,R6千本錦40,40,215,24,留麹,45970,R6兵庫山田錦40,40,80,24,留掛,45973,R6千本錦40,40,362,24,四段,45999,R6千本錦40,40,0
25,900,45976,大吟40,,46003,10,山田錦100%,25,モト麹,45956,R6兵庫山田錦40,40,20,25,モト掛,45961,R6兵庫山田錦40,40,30,25,初麹,45969,R6兵庫山田錦40,40,40,25,初掛,45972,R6兵庫山田錦40,40,95,25,仲麹,45967,R6兵庫山田錦40,40,55,25,仲掛,45974,R6兵庫山田錦40,40,215,25,留麹,45972,R6兵庫山田錦40,40,80,25,留掛,45975,R6兵庫山田錦40,40,388,25,四段,46001,R6兵庫山田錦40,40,0
26,600,45978,純大40,,46005,68,赤磐雄町100%,26,モト麹,45956,R6兵庫山田錦40,40,12,26,モト掛,45963,R6岡山雄町40,40,23,26,初麹,45971,R6岡山雄町40,40,30,26,初掛,45974,R6岡山雄町40,40,60,26,仲麹,45971,R6岡山雄町40,40,40,26,仲掛,45976,R6岡山雄町40,40,140,26,留麹,45971,R6岡山雄町40,40,50,26,留掛,45977,R6岡山雄町40,40,257,26,四段,46003,R6岡山雄町40,40,0
27,1350,45980,純吟50/60,,46005,62,,27,モト麹,45962,R6広島山田錦50,50,30,27,モト掛,45965,R6広島雄町60,60,50,27,初麹,45973,R6広島山田錦50,50,60,27,初掛,45976,R6広島雄町60,60,140,27,仲麹,45975,R6広島山田錦50,50,80,27,仲掛,45978,R6広島雄町60,60,330,27,留麹,45976,R6岡山雄町50,50,120,27,留掛,45979,R6萌えいぶき原形60,60,540,27,四段,46003,R6萌えいぶき原形60,60,40
28,1350,45982,純吟50/60,,46006,63,,28,モト麹,45964,R6岡山雄町50,50,30,28,モト掛,45967,R6広島雄町60,60,50,28,初麹,45975,R6広島山田錦50,50,60,28,初掛,45978,R6八反35号60,60,140,28,仲麹,45977,R6広島山田錦50,50,80,28,仲掛,45980,R6八反35号60,60,330,28,留麹,45978,R6岡山雄町50,50,120,28,留掛,45981,"R6広島山田錦2,3等60",60,540,28,四段,46004,"R6広島山田錦2,3等60",60,35
29,1350,45984,純吟50/60,,46007,19,,29,モト麹,45966,R6岡山雄町50,50,30,29,モト掛,45969,R6広島雄町60,60,50,29,初麹,45977,R6広島山田錦50,50,60,29,初掛,45980,R6こいおまち60,60,140,29,仲麹,45973,R6広島山田錦50,50,80,29,仲掛,45982,R6こいおまち60,60,330,29,留麹,45980,R6岡山雄町50,50,120,29,留掛,45983,"R6広島山田錦2,3等60",60,175,29,四段,46005,R6広島雄町60,60,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,留掛,45983,R6千本錦60,60,234,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,留掛,45983,R6こいおまち60,60,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,留掛,45983,R6広島雄町60,60,126,,,,,,
30,1220,45986,特純13度山田錦60,,46009,64,13度(2)おりがらみ,30,モト麹,45968,R6岡山雄町50,50,25,30,モト掛,45971,"R6広島山田錦2,3等60",60,40,30,初麹,45979,R6広島山田錦60,60,55,30,初掛,45982,"R6広島山田錦2,3等60",60,115,30,仲麹,45981,R6広島山田錦60,60,70,30,仲掛,45984,"R6広島山田錦2,3等60",60,270,30,留麹,45982,R6広島山田錦60,60,100,30,留掛,45985,"R6広島山田錦2,3等60",60,425,30,四段,46007,"R6広島山田錦2,3等60",60,120
31,1220,45988,特純13度山田錦60,,46011,6,13度(3)おりがらみ,31,モト麹,45970,R6兵庫山田錦40,40,25,31,モト掛,45973,"R6広島山田錦2,3等60",60,40,31,初麹,45981,R6広島山田錦60,60,55,31,初掛,45984,"R6広島山田錦2,3等60",60,115,31,仲麹,45979,R6広島山田錦60,60,70,31,仲掛,45986,"R6広島山田錦2,3等60",60,270,31,留麹,45984,兵庫山田錦50,50,100,31,留掛,45987,"R6広島山田錦2,3等60",60,435,31,四段,46009,"R6広島山田錦2,3等60",60,120
32,1350,45990,純米60/65,,46013,28,辛口(7),32,モト麹,45972,R6兵庫山田錦40,40,30,32,モト掛,45975,R6広島雄町60,60,50,32,初麹,45983,八反錦60,60,60,32,初掛,45986,加工用米65,65,140,32,仲麹,45985,八反錦60,60,80,32,仲掛,45988,加工用米65,65,330,32,留麹,45986,八反錦60,60,120,32,留掛,45989,八反錦原形65,65,540,32,四段,46011,加工用米65,65,30
33,1350,45992,純米60/65,,46015,225,辛口(8),33,モト麹,45974,R6広島雄町60,60,30,33,モト掛,45977,八反錦60,60,50,33,初麹,45985,八反錦60,60,60,33,初掛,45988,加工用米65,65,140,33,仲麹,45987,八反錦60,60,80,33,仲掛,45990,加工用米65,65,330,33,留麹,45988,八反錦60,60,120,33,留掛,45991,八反錦原形65,65,540,33,四段,46013,加工用米65,65,30
34,1350,45994,純米60/65,,46017,226,辛口(9),34,モト麹,45974,R6広島雄町60,60,30,34,モト掛,45979,八反錦60,60,50,34,初麹,45987,八反錦60,60,60,34,初掛,45990,八反錦原形65,65,140,34,仲麹,45989,八反錦60,60,80,34,仲掛,45992,八反錦原形65,65,330,34,留麹,45990,八反錦60,60,120,34,留掛,45993,八反錦原形65,65,540,34,四段,46015,加工用米65,65,43
35,1350,45996,純吟60,,46019,227,特純(1),35,モト麹,45974,R6広島雄町60,60,30,35,モト掛,45981,八反錦60,60,50,35,初麹,45989,八反錦60,60,60,35,初掛,45992,八反錦60,60,140,35,仲麹,45991,八反錦60,60,80,35,仲掛,45994,八反錦60,60,330,35,留麹,45992,八反錦60,60,120,35,留掛,45995,八反錦60,60,540,35,四段,46017,R6萌えいぶき原形60,60,40
36,900,46000,吟醸60,,46025,263,,36,モト麹,45982,R6広島山田錦60,60,20,36,モト掛,45985,八反錦60,60,30,36,初麹,45993,八反錦60,60,40,36,初掛,45996,八反錦60,60,95,36,仲麹,45993,八反錦60,60,55,36,仲掛,45998,八反錦60,60,215,36,留麹,45996,八反錦60,60,80,36,留掛,45999,八反錦60,60,170,36,四段,46023,R6八反35号60,60,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,留掛,45999,R6こいおまち60,60,196,,,,,,
37,1000,46002,純吟山田錦50/55,,46027,288,純吟山田錦(1),37,モト麹,45984,兵庫山田錦50,50,20,37,モト掛,45987,兵庫山田錦50,50,35,37,初麹,45995,兵庫山田錦50,50,45,37,初掛,45998,"R6広島山田錦2,3等55",55,105,37,仲麹,45997,兵庫山田錦50,50,60,37,仲掛,46000,"R6広島山田錦2,3等55",55,240,37,留麹,45995,兵庫山田錦50,50,90,37,留掛,46001,"R6広島山田錦2,3等55",55,405,37,四段,46025,"R6広島山田錦2,3等55",55,42
38,1000,46004,純大山田錦50,,46029,888,ムロカ生,38,モト麹,45986,八反錦60,60,20,38,モト掛,45989,兵庫山田錦50,50,35,38,初麹,45997,兵庫山田錦50,50,45,38,初掛,46000,広島山田錦50,50,105,38,仲麹,45999,兵庫山田錦50,50,60,38,仲掛,46002,広島山田錦50,50,240,38,留麹,46000,兵庫山田錦50,50,90,38,留掛,46003,"R6広島山田錦2,3等50",50,405,38,四段,46027,広島山田錦50,50,0
39,1000,46006,純大山田錦50,,46031,18,ムロカ生,39,モト麹,45988,八反錦60,60,20,39,モト掛,45991,兵庫山田錦50,50,35,39,初麹,45999,兵庫山田錦50,50,45,39,初掛,46002,広島山田錦50,50,105,39,仲麹,46001,兵庫山田錦50,50,60,39,仲掛,46004,広島山田錦50,50,240,39,留麹,46002,兵庫山田錦50,50,90,39,留掛,46005,"R6広島山田錦2,3等50",50,240,39,四段,46029,広島山田錦50,50,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,留掛,46005,"R6広島山田錦2,3等50",50,165,,,,,,
40,600,46008,純大山田錦50,,46033,68,ムロカ生,40,モト麹,45990,八反錦60,60,12,40,モト掛,45993,兵庫山田錦50,50,23,40,初麹,46001,兵庫山田錦50,50,30,40,初掛,46004,広島山田錦50,50,60,40,仲麹,46003,兵庫山田錦50,50,40,40,仲掛,46006,広島山田錦50,50,140,40,留麹,46002,兵庫山田錦50,50,50,40,留掛,46007,広島山田錦50,50,160,40,四段,46031,広島山田錦50,50,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,留掛,46007,"R6広島山田錦2,3等50",50,105,,,,,,
41,800,46010,純吟50/60(千本錦)原形,,46034,10,UGO(2),41,モト麹,45992,八反錦60,60,15,41,モト掛,45995,兵庫山田錦50,50,30,41,初麹,46003,兵庫山田錦50,50,40,41,初掛,46006,千本錦原形60,60,80,41,仲麹,46001,兵庫山田錦50,50,50,41,仲掛,46008,千本錦原形60,60,190,41,留麹,46003,兵庫山田錦50,50,65,41,留掛,46009,千本錦原形60,60,330,41,四段,46032,千本錦原形60,60,80
42,1350,46012,純米八反錦65,,46035,62,超辛(2),42,モト麹,45993,八反錦60,60,30,42,モト掛,45997,八反錦60,60,50,42,初麹,46005,八反錦65,65,60,42,初掛,46008,八反錦65,65,140,42,仲麹,46007,八反錦65,65,80,42,仲掛,46010,八反錦65,65,330,42,留麹,46008,八反錦65,65,120,42,留掛,46011,八反錦65,65,540,42,四段,46033,八反錦65,65,30
43,1350,46014,純米八反錦65,,46037,63,超辛(3),43,モト麹,45996,八反錦60,60,30,43,モト掛,45999,八反錦60,60,50,43,初麹,46007,八反錦65,65,60,43,初掛,46010,八反錦原形65,65,140,43,仲麹,46005,八反錦65,65,80,43,仲掛,46012,八反錦原形65,65,330,43,留麹,46010,八反錦65,65,120,43,留掛,46013,八反錦原形65,65,540,43,四段,46035,八反錦原形65,65,43
44,1350,46016,純米60/65,,46039,19,辛口(10),44,モト麹,45998,八反錦60,60,30,44,モト掛,46001,八反錦60,60,50,44,初麹,46009,八反錦60,60,60,44,初掛,46012,加工用米65,65,140,44,仲麹,46011,八反錦60,60,80,44,仲掛,46014,加工用米65,65,330,44,留麹,46012,八反錦60,60,120,44,留掛,46015,加工用米65,65,540,44,四段,46037,加工用米65,65,30
45,1350,46018,純米60/65,,46041,64,辛口(11),45,モト麹,45998,八反錦60,60,30,45,モト掛,46003,八反錦60,60,50,45,初麹,46011,八反錦60,60,60,45,初掛,46014,加工用米65,65,140,45,仲麹,46013,八反錦60,60,80,45,仲掛,46016,加工用米65,65,330,45,留麹,46014,八反錦60,60,120,45,留掛,46017,加工用米65,65,540,45,四段,46039,加工用米65,65,30
46,1350,46020,純米60/65,,46043,6,辛口(12),46,モト麹,45998,八反錦60,60,30,46,モト掛,46005,八反錦60,60,50,46,初麹,46013,八反錦60,60,60,46,初掛,46016,八反錦原形65,65,140,46,仲麹,46009,八反錦60,60,80,46,仲掛,46018,八反錦原形65,65,330,46,留麹,46016,八反錦60,60,120,46,留掛,46019,八反錦原形65,65,540,46,四段,46041,加工用米65,65,36
